step,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud
99,12,2,0,0,1,0,5,5.98,0
100,12,2,0,0,1,0,5,1.18,0
101,12,2,0,0,1,0,5,5.73,0
103,12,2,0,0,1,0,5,31.22,0
104,12,2,0,0,1,0,5,11.4,0
105,12,2,0,0,1,0,5,37.99,0
106,12,2,0,0,1,0,5,24.83,0
107,12,2,0,0,1,0,5,11.0,0
108,12,2,0,0,1,0,5,2.74,0
109,12,2,0,0,35,0,18,1888.43,1
109,12,2,0,0,1,0,5,16.83,0
111,12,2,0,0,1,0,5,18.62,0
112,12,2,0,0,1,0,5,41.88,0
113,12,2,0,0,1,0,5,5.07,0
114,12,2,0,0,1,0,5,47.59,0
115,12,2,0,0,1,0,5,40.94,0
116,12,2,0,0,1,0,5,26.42,0
117,12,2,0,0,1,0,5,23.7,0
118,12,2,0,0,5,0,8,9.92,0
119,12,2,0,0,1,0,5,5.97,0
151,12,2,0,0,1,0,5,11.72,0
152,12,2,0,0,1,0,5,4.22,0
153,12,2,0,0,1,0,5,33.37,0
154,12,2,0,0,1,0,5,22.25,0
155,12,2,0,0,1,0,5,9.86,0
156,12,2,0,0,1,0,5,21.77,0
157,12,2,0,0,1,0,5,29.99,0
158,12,2,0,0,1,0,5,74.86,0
159,12,2,0,0,1,0,5,4.91,0
160,12,2,0,0,1,0,5,37.33,0
161,12,2,0,0,6,0,6,541.61,1
161,12,2,0,0,1,0,5,19.09,0
162,12,2,0,0,1,0,5,25.9,0
163,12,2,0,0,1,0,5,38.03,0
164,12,2,0,0,1,0,5,9.78,0
165,12,2,0,0,1,0,5,33.11,0
166,12,2,0,0,1,0,5,13.94,0
167,12,2,0,0,1,0,5,51.19,0
168,12,2,0,0,1,0,5,20.02,0
169,12,2,0,0,1,0,5,15.02,0
170,12,2,0,0,1,0,5,3.23,0
136,15,2,1,0,0,0,5,34.6,0
137,15,2,1,0,0,0,5,28.44,0
138,15,2,1,0,0,0,5,28.28,0
139,15,2,1,0,0,0,5,28.75,0
140,15,2,1,0,13,0,14,32.4,0
141,15,2,1,0,0,0,5,51.79,0
142,15,2,1,0,0,0,5,30.94,0
143,15,2,1,0,0,0,5,64.66,0
144,15,2,1,0,0,0,5,13.19,0
145,15,2,1,0,0,0,5,16.57,0
146,15,2,1,0,13,0,14,164.04,1
146,15,2,1,0,0,0,5,52.39,0
147,15,2,1,0,0,0,5,30.54,0
148,15,2,1,0,0,0,5,17.51,0
149,15,2,1,0,0,0,5,8.28,0
150,15,2,1,0,0,0,5,10.74,0
151,15,2,1,0,0,0,5,54.91,0
152,15,2,1,0,22,0,12,1142.23,1
152,15,2,1,0,0,0,5,23.14,0
153,15,2,1,0,0,0,5,34.93,0
154,15,2,1,0,0,0,5,49.6,0
155,15,2,1,0,0,0,5,49.38,0
156,15,2,1,0,0,0,5,20.65,0
157,15,2,1,0,0,0,5,42.21,0
158,15,2,1,0,0,0,5,47.44,0
159,15,2,1,0,0,0,5,30.25,0
160,15,2,1,0,0,0,5,29.99,0
161,15,2,1,0,0,0,5,15.22,0
4,17,3,1,0,0,0,5,20.19,0
5,17,3,1,0,0,0,5,11.84,0
6,17,3,1,0,9,0,10,51.64,0
7,17,3,1,0,0,0,5,41.16,0
8,17,3,1,0,0,0,5,20.63,0
9,17,3,1,0,0,0,5,14.73,0
10,17,3,1,0,0,0,5,42.89,0
11,17,3,1,0,0,0,5,30.07,0
12,17,3,1,0,0,0,5,22.08,0
13,17,3,1,0,0,0,5,28.71,0
13,17,3,1,0,6,0,6,747.24,1
14,17,3,1,0,0,0,5,52.13,0
15,17,3,1,0,0,0,5,40.8,0
15,17,3,1,0,16,0,16,667.76,1
16,17,3,1,0,36,0,15,81.93,0
17,17,3,1,0,0,0,5,12.45,0
17,17,3,1,0,1,0,5,74.02,0
18,17,3,1,0,1,0,5,72.67,0
19,17,3,1,0,1,0,5,32.88,0
20,17,3,1,0,1,0,5,3.48,0
21,17,3,1,0,1,0,5,37.35,0
22,17,3,1,0,1,0,5,67.18,0
23,17,3,1,0,1,0,5,18.74,0
24,17,3,1,0,1,0,5,10.73,0
25,17,3,1,0,1,0,5,6.3,0
26,17,3,1,0,5,0,8,30.52,0
27,17,3,1,0,1,0,5,35.85,0
28,17,3,1,0,1,0,5,34.06,0
28,17,3,1,0,6,0,6,437.47,1
29,17,3,1,0,5,0,8,35.78,0
30,17,3,1,0,1,0,5,29.2,0
31,17,3,1,0,1,0,5,21.93,0
32,17,3,1,0,1,0,5,41.78,0
33,17,3,1,0,1,0,5,30.16,0
34,17,3,1,0,1,0,5,14.81,0
35,17,3,1,0,1,0,5,8.86,0
36,17,3,1,0,1,0,5,14.47,0
37,17,3,1,0,1,0,5,24.6,0
38,17,3,1,0,1,0,5,26.64,0
129,17,3,1,0,1,0,5,1.47,0
130,17,3,1,0,1,0,5,15.27,0
131,17,3,1,0,1,0,5,20.79,0
134,17,3,1,0,1,0,5,1.28,0
135,17,3,1,0,1,0,5,33.07,0
136,17,3,1,0,5,0,8,6.5,0
137,17,3,1,0,1,0,5,39.59,0
138,17,3,1,0,28,0,13,30.98,0
139,17,3,1,0,0,0,5,10.22,0
139,17,3,1,0,1,0,5,15.91,0
140,17,3,1,0,18,0,9,96.59,1
140,17,3,1,0,1,0,5,37.52,0
141,17,3,1,0,1,0,5,36.6,0
142,17,3,1,0,1,0,5,23.85,0
143,17,3,1,0,1,0,5,17.5,0
144,17,3,1,0,1,0,5,9.93,0
145,17,3,1,0,1,0,5,27.79,0
146,17,3,1,0,1,0,5,15.55,0
147,17,3,1,0,5,0,8,32.16,0
148,17,3,1,0,1,0,5,17.16,0
149,17,3,1,0,1,0,5,24.78,0
157,17,3,1,0,1,0,5,17.69,0
159,17,3,1,0,5,0,8,4.79,0
160,17,3,1,0,1,0,5,37.27,0
161,17,3,1,0,1,0,5,6.01,0
162,17,3,1,0,1,0,5,28.48,0
163,17,3,1,0,28,0,13,31.35,0
164,17,3,1,0,0,0,5,50.22,0
164,17,3,1,0,1,0,5,56.41,0
165,17,3,1,0,1,0,5,52.06,0
166,17,3,1,0,1,0,5,23.14,0
166,17,3,1,0,6,0,6,244.63,1
167,17,3,1,0,5,0,8,30.52,0
169,17,3,1,0,1,0,5,31.39,0
170,17,3,1,0,1,0,5,58.72,0
171,17,3,1,0,1,0,5,26.51,0
172,17,3,1,0,1,0,5,50.82,0
174,17,3,1,0,1,0,5,23.98,0
175,17,3,1,0,1,0,5,12.09,0
176,17,3,1,0,1,0,5,5.93,0
177,17,3,1,0,1,0,5,19.88,0
178,17,3,1,0,1,0,5,29.17,0
18,19,1,1,0,0,0,5,16.06,0
19,19,1,1,0,0,0,5,5.02,0
20,19,1,1,0,0,0,5,2.24,0
21,19,1,1,0,0,0,5,28.93,0
22,19,1,1,0,0,0,5,30.11,0
23,19,1,1,0,0,0,5,6.24,0
24,19,1,1,0,0,0,5,20.11,0
26,19,1,1,0,0,0,5,41.68,0
27,19,1,1,0,15,0,13,46.34,0
28,19,1,1,0,20,0,13,72.65,0
79,19,1,1,0,35,0,18,4574.72,1
81,19,1,1,0,12,0,13,56.68,0
95,19,1,1,0,6,0,6,113.71,0
97,19,1,1,0,12,0,13,69.55,0
97,19,1,1,0,20,0,13,75.8,0
97,19,1,1,0,21,0,13,54.15,0
136,19,1,1,0,6,0,6,26.42,0
136,19,1,1,0,4,0,6,66.46,0
137,19,1,1,0,1,0,5,62.75,0
138,19,1,1,0,40,0,16,13.69,0
139,19,1,1,0,13,0,14,85.87,1
139,19,1,1,0,1,0,5,9.96,0
140,19,1,1,0,1,0,5,70.81,0
141,19,1,1,0,1,0,5,22.71,0
142,19,1,1,0,1,0,5,26.59,0
144,19,1,1,0,1,0,5,1.6,0
145,19,1,1,0,1,0,5,36.24,0
146,19,1,1,0,1,0,5,43.22,0
147,19,1,1,0,1,0,5,24.2,0
148,19,1,1,0,5,0,8,59.05,0
149,19,1,1,0,1,0,5,57.86,0
111,25,2,0,0,0,0,5,15.68,0
112,25,2,0,0,0,0,5,74.69,0
113,25,2,0,0,0,0,5,12.47,0
114,25,2,0,0,0,0,5,31.16,0
116,25,2,0,0,9,0,10,73.89,0
117,25,2,0,0,0,0,5,16.59,0
119,25,2,0,0,0,0,5,18.87,0
120,25,2,0,0,13,0,14,11.79,0
121,25,2,0,0,0,0,5,26.46,0
122,25,2,0,0,0,0,5,30.54,0
123,25,2,0,0,20,0,13,436.48,1
123,25,2,0,0,0,0,5,36.26,0
124,25,2,0,0,15,0,13,66.89,0
124,25,2,0,0,44,0,13,11.58,0
124,25,2,0,0,29,0,13,61.4,0
125,25,2,0,0,0,0,5,12.53,0
126,25,2,0,0,23,0,9,259.23,0
127,25,2,0,0,0,0,5,35.09,0
128,25,2,0,0,0,0,5,39.87,0
129,25,2,0,0,0,0,5,56.13,0
130,25,2,0,0,0,0,5,11.45,0
131,25,2,0,0,0,0,5,51.87,0
132,25,2,0,0,0,0,5,10.74,0
133,25,2,0,0,13,0,14,3.93,0
135,25,2,0,0,0,0,5,56.74,0
136,25,2,0,0,0,0,5,29.55,0
137,25,2,0,0,0,0,5,31.93,0
138,25,2,0,0,0,0,5,17.86,0
140,25,2,0,0,35,0,18,1473.49,1
140,25,2,0,0,0,0,5,33.62,0
141,25,2,0,0,0,0,5,26.42,0
142,25,2,0,0,0,0,5,29.37,0
144,25,2,0,0,0,0,5,24.42,0
145,25,2,0,0,0,0,5,33.78,0
146,25,2,0,0,0,0,5,28.46,0
147,25,2,0,0,0,0,5,41.78,0
148,25,2,0,0,0,0,5,9.45,0
149,25,2,0,0,0,0,5,37.34,0
150,25,2,0,0,0,0,5,21.91,0
178,25,2,0,0,1,0,5,39.91,0
179,25,2,0,0,1,0,5,12.81,0
0,26,0,0,0,0,0,5,24.84,0
3,26,0,0,0,0,0,5,11.98,0
4,26,0,0,0,0,0,5,34.39,0
6,26,0,0,0,0,0,5,14.73,0
7,26,0,0,0,0,0,5,7.35,0
8,26,0,0,0,0,0,5,12.95,0
9,26,0,0,0,13,0,14,3.29,0
10,26,0,0,0,20,0,13,22.45,0
40,26,0,0,0,30,0,16,527.29,1
40,26,0,0,0,0,0,5,17.3,0
41,26,0,0,0,0,0,5,12.46,0
42,26,0,0,0,0,0,5,45.23,0
43,26,0,0,0,0,0,5,15.03,0
44,26,0,0,0,0,0,5,4.54,0
45,26,0,0,0,0,0,5,30.74,0
46,26,0,0,0,0,0,5,10.21,0
48,26,0,0,0,0,0,5,48.43,0
49,26,0,0,0,15,0,13,17.06,0
50,26,0,0,0,0,0,5,23.56,0
55,33,1,1,0,1,0,5,32.86,0
56,33,1,1,0,5,0,8,28.15,0
57,33,1,1,0,1,0,5,21.37,0
58,33,1,1,0,1,0,5,4.38,0
59,33,1,1,0,28,0,13,20.37,0
60,33,1,1,0,13,0,14,84.39,0
61,33,1,1,0,3,0,7,34.31,0
87,33,1,1,0,6,0,6,34.93,0
97,33,1,1,0,12,0,13,129.47,0
108,33,1,1,0,3,0,7,44.18,0
121,33,1,1,0,35,0,18,4997.46,1
125,33,1,1,0,6,0,6,173.56,0
125,33,1,1,0,4,0,6,73.61,0
126,33,1,1,0,1,0,5,24.99,0
127,33,1,1,0,1,0,5,39.94,0
128,33,1,1,0,1,0,5,13.56,0
129,33,1,1,0,1,0,5,65.27,0
131,33,1,1,0,1,0,5,19.31,0
132,33,1,1,0,1,0,5,33.67,0
133,33,1,1,0,14,0,15,64.46,0
134,33,1,1,0,1,0,5,37.95,0
163,33,1,1,0,1,0,5,56.85,0
164,33,1,1,0,1,0,5,10.15,0
165,33,1,1,0,1,0,5,6.4,0
166,33,1,1,0,1,0,5,6.07,0
167,33,1,1,0,1,0,5,26.98,0
168,33,1,1,0,1,0,5,15.31,0
169,33,1,1,0,1,0,5,0.23,0
170,33,1,1,0,4,0,6,114.39,0
170,33,1,1,0,42,0,6,41.15,0
171,33,1,1,0,1,0,5,22.49,0
172,33,1,1,0,6,0,6,184.71,1
172,33,1,1,0,1,0,5,20.61,0
173,33,1,1,0,1,0,5,32.43,0
174,33,1,1,0,1,0,5,4.91,0
175,33,1,1,0,1,0,5,17.53,0
176,33,1,1,0,1,0,5,20.05,0
178,33,1,1,0,1,0,5,48.04,0
179,33,1,1,0,1,0,5,20.87,0
0,35,3,1,0,0,0,5,46.14,0
2,35,3,1,0,0,0,5,16.83,0
3,35,3,1,0,0,0,5,15.22,0
72,35,3,1,0,0,0,5,40.92,0
73,35,3,1,0,0,0,5,40.93,0
74,35,3,1,0,0,0,5,25.25,0
75,35,3,1,0,0,0,5,0.29,0
76,35,3,1,0,0,0,5,25.75,0
77,35,3,1,0,9,0,10,19.98,0
78,35,3,1,0,7,0,6,108.12,0
101,35,3,1,0,20,0,13,17.08,0
115,35,3,1,0,7,0,6,122.4,0
115,35,3,1,0,2,0,6,1.34,0
163,35,3,1,0,20,0,13,160.89,1
0,38,1,1,0,0,0,5,36.15,0
1,38,1,1,0,0,0,5,4.37,0
2,38,1,1,0,0,0,5,55.12,0
3,38,1,1,0,0,0,5,41.4,0
4,38,1,1,0,0,0,5,28.94,0
5,38,1,1,0,0,0,5,52.94,0
6,38,1,1,0,0,0,5,40.97,0
7,38,1,1,0,0,0,5,29.6,0
8,38,1,1,0,0,0,5,41.69,0
9,38,1,1,0,0,0,5,18.78,0
22,38,1,1,0,0,0,5,24.91,0
23,38,1,1,0,0,0,5,28.2,0
24,38,1,1,0,0,0,5,13.65,0
25,38,1,1,0,0,0,5,33.36,0
26,38,1,1,0,0,0,5,35.86,0
27,38,1,1,0,0,0,5,37.62,0
29,38,1,1,0,9,0,10,83.02,0
31,38,1,1,0,0,0,5,26.7,0
32,38,1,1,0,0,0,5,14.89,0
33,38,1,1,0,9,0,10,8.62,0
34,38,1,1,0,6,0,6,885.85,1
34,38,1,1,0,0,0,5,35.19,0
35,38,1,1,0,0,0,5,22.08,0
36,38,1,1,0,0,0,5,4.9,0
37,38,1,1,0,0,0,5,39.8,0
38,38,1,1,0,0,0,5,40.31,0
39,38,1,1,0,0,0,5,28.86,0
40,38,1,1,0,0,0,5,12.38,0
41,38,1,1,0,0,0,5,48.27,0
42,38,1,1,0,0,0,5,3.2,0
43,38,1,1,0,0,0,5,46.5,0
93,38,1,1,0,0,0,5,11.4,0
94,38,1,1,0,0,0,5,62.07,0
95,38,1,1,0,0,0,5,21.89,0
96,38,1,1,0,0,0,5,20.83,0
97,38,1,1,0,0,0,5,50.6,0
98,38,1,1,0,0,0,5,9.39,0
100,38,1,1,0,13,0,14,116.66,0
101,38,1,1,0,0,0,5,0.15,0
102,38,1,1,0,0,0,5,25.08,0
103,38,1,1,0,0,0,5,44.17,0
104,38,1,1,0,38,0,19,342.95,1
104,38,1,1,0,0,0,5,9.23,0
105,38,1,1,0,0,0,5,33.25,0
106,38,1,1,0,0,0,5,4.26,0
107,38,1,1,0,0,0,5,36.81,0
108,38,1,1,0,0,0,5,11.91,0
109,38,1,1,0,9,0,10,9.67,0
110,38,1,1,0,0,0,5,17.24,0
111,38,1,1,0,0,0,5,16.68,0
113,38,1,1,0,0,0,5,29.47,0
115,38,1,1,0,0,0,5,19.64,0
2,39,3,1,0,9,0,10,27.72,0
3,39,3,1,0,0,0,5,44.84,0
4,39,3,1,0,0,0,5,19.53,0
7,39,3,1,0,0,0,5,45.14,0
8,39,3,1,0,0,0,5,39.73,0
9,39,3,1,0,15,0,13,94.89,0
10,39,3,1,0,0,0,5,30.97,0
11,39,3,1,0,0,0,5,5.48,0
12,39,3,1,0,9,0,10,90.85,0
13,39,3,1,0,20,0,13,0.58,0
13,39,3,1,0,20,0,13,401.78,1
14,39,3,1,0,12,0,13,57.43,0
27,39,3,1,0,6,0,6,503.28,1
27,39,3,1,0,12,0,13,33.07,0
27,39,3,1,0,20,0,13,92.84,0
27,39,3,1,0,21,0,13,29.42,0
33,39,3,1,0,22,0,12,632.59,1
51,39,3,1,0,13,0,14,16.07,0
52,39,3,1,0,0,0,5,55.39,0
53,39,3,1,0,0,0,5,14.55,0
54,39,3,1,0,0,0,5,49.32,0
55,39,3,1,0,0,0,5,22.25,0
57,39,3,1,0,0,0,5,21.21,0
58,39,3,1,0,0,0,5,17.34,0
60,39,3,1,0,11,0,12,591.42,1
61,39,3,1,0,15,0,13,144.25,0
61,39,3,1,0,44,0,13,55.91,0
62,39,3,1,0,0,0,5,25.75,0
63,39,3,1,0,0,0,5,20.6,0
64,39,3,1,0,0,0,5,3.54,0
65,39,3,1,0,0,0,5,40.28,0
66,39,3,1,0,0,0,5,33.88,0
67,39,3,1,0,22,0,12,126.01,1
67,39,3,1,0,0,0,5,2.81,0
68,39,3,1,0,0,0,5,29.18,0
69,39,3,1,0,0,0,5,24.09,0
70,39,3,1,0,0,0,5,16.22,0
71,39,3,1,0,13,0,14,73.9,0
72,39,3,1,0,0,0,5,38.89,0
73,39,3,1,0,0,0,5,17.37,0
74,39,3,1,0,0,0,5,58.88,0
75,39,3,1,0,0,0,5,11.01,0
77,39,3,1,0,0,0,5,5.96,0
78,39,3,1,0,9,0,10,56.53,0
79,39,3,1,0,0,0,5,48.68,0
81,39,3,1,0,0,0,5,23.97,0
82,39,3,1,0,0,0,5,24.95,0
83,39,3,1,0,0,0,5,21.89,0
84,39,3,1,0,0,0,5,51.33,0
85,39,3,1,0,13,0,14,74.18,0
86,39,3,1,0,0,0,5,46.71,0
87,39,3,1,0,0,0,5,31.77,0
87,39,3,1,0,13,0,14,216.05,1
88,39,3,1,0,0,0,5,20.18,0
89,39,3,1,0,0,0,5,11.79,0
90,39,3,1,0,0,0,5,52.48,0
91,39,3,1,0,0,0,5,3.34,0
92,39,3,1,0,13,0,14,4.97,0
93,39,3,1,0,5,0,8,43.66,0
94,39,3,1,0,1,0,5,25.76,0
95,39,3,1,0,1,0,5,20.33,0
96,39,3,1,0,1,0,5,37.25,0
97,39,3,1,0,1,0,5,4.45,0
119,39,3,1,0,1,0,5,42.17,0
120,39,3,1,0,1,0,5,55.74,0
121,39,3,1,0,1,0,5,8.23,0
122,39,3,1,0,1,0,5,25.12,0
123,39,3,1,0,1,0,5,15.33,0
124,39,3,1,0,5,0,8,42.84,0
125,39,3,1,0,5,0,8,61.28,0
126,39,3,1,0,1,0,5,26.23,0
128,39,3,1,0,1,0,5,22.12,0
129,39,3,1,0,1,0,5,3.15,0
129,39,3,1,0,38,0,19,305.98,1
130,39,3,1,0,1,0,5,41.42,0
132,39,3,1,0,1,0,5,21.38,0
133,39,3,1,0,1,0,5,6.56,0
134,39,3,1,0,1,0,5,0.61,0
135,39,3,1,0,1,0,5,42.63,0
136,39,3,1,0,1,0,5,10.47,0
137,39,3,1,0,1,0,5,10.94,0
138,39,3,1,0,1,0,5,49.61,0
139,39,3,1,0,1,0,5,5.37,0
140,39,3,1,0,1,0,5,28.54,0
167,43,2,0,0,0,0,5,40.87,0
168,43,2,0,0,0,0,5,4.91,0
169,43,2,0,0,0,0,5,26.13,0
170,43,2,0,0,0,0,5,1.0,0
171,43,2,0,0,0,0,5,11.35,0
172,43,2,0,0,0,0,5,50.2,0
173,43,2,0,0,0,0,5,32.61,0
174,43,2,0,0,0,0,5,16.13,0
177,43,2,0,0,23,0,9,56.88,0
177,43,2,0,0,43,0,9,132.93,0
177,43,2,0,0,6,0,6,360.03,1
178,43,2,0,0,0,0,5,44.8,0
178,43,2,0,0,1,0,5,26.43,0
179,43,2,0,0,1,0,5,57.46,0
0,45,0,1,0,0,0,5,32.96,0
1,45,0,1,0,0,0,5,4.48,0
2,45,0,1,0,0,0,5,35.97,0
3,45,0,1,0,0,0,5,24.39,0
4,45,0,1,0,0,0,5,15.05,0
5,45,0,1,0,0,0,5,20.57,0
6,45,0,1,0,0,0,5,0.19,0
73,45,0,1,0,0,0,5,2.42,0
75,45,0,1,0,0,0,5,5.95,0
76,45,0,1,0,0,0,5,15.93,0
77,45,0,1,0,0,0,5,29.62,0
78,45,0,1,0,0,0,5,19.93,0
80,45,0,1,0,0,0,5,93.74,0
81,45,0,1,0,0,0,5,38.07,0
82,45,0,1,0,0,0,5,32.04,0
83,45,0,1,0,0,0,5,54.02,0
84,45,0,1,0,0,0,5,28.07,0
87,45,0,1,0,9,0,10,384.62,1
87,45,0,1,0,0,0,5,15.59,0
88,45,0,1,0,23,0,9,45.92,0
89,45,0,1,0,0,0,5,8.93,0
90,45,0,1,0,0,0,5,53.68,0
91,45,0,1,0,0,0,5,17.1,0
92,45,0,1,0,0,0,5,17.69,0
93,45,0,1,0,9,0,10,56.37,0
94,45,0,1,0,0,0,5,14.31,0
95,45,0,1,0,0,0,5,59.64,0
97,45,0,1,0,0,0,5,28.37,0
138,45,0,1,0,0,0,5,20.34,0
139,45,0,1,0,0,0,5,8.66,0
140,45,0,1,0,0,0,5,55.24,0
141,45,0,1,0,9,0,10,43.42,0
142,45,0,1,0,0,0,5,23.98,0
143,45,0,1,0,0,0,5,35.61,0
144,45,0,1,0,0,0,5,35.18,0
145,45,0,1,0,0,0,5,30.98,0
146,45,0,1,0,0,0,5,22.7,0
147,45,0,1,0,0,0,5,36.84,0
147,45,0,1,0,25,0,15,305.05,1
148,45,0,1,0,0,0,5,10.38,0
149,45,0,1,0,13,0,14,115.63,0
150,45,0,1,0,0,0,5,88.56,0
151,45,0,1,0,0,0,5,39.04,0
152,45,0,1,0,0,0,5,27.02,0
153,45,0,1,0,0,0,5,30.89,0
154,45,0,1,0,13,0,14,20.35,0
155,45,0,1,0,0,0,5,10.92,0
156,45,0,1,0,0,0,5,33.52,0
157,45,0,1,0,0,0,5,15.85,0
6,49,1,0,0,0,0,5,62.56,0
7,49,1,0,0,0,0,5,5.82,0
8,49,1,0,0,0,0,5,29.4,0
9,49,1,0,0,0,0,5,3.59,0
10,49,1,0,0,0,0,5,54.57,0
11,49,1,0,0,0,0,5,31.65,0
12,49,1,0,0,9,0,10,10.07,0
13,49,1,0,0,7,0,6,32.46,0
21,49,1,0,0,25,0,15,22.49,0
63,49,1,0,0,12,0,13,152.98,0
67,49,1,0,0,6,0,6,217.42,1
70,49,1,0,0,6,0,6,76.22,0
84,49,1,0,0,17,0,9,175.76,0
111,49,1,0,0,12,0,13,86.79,0
111,49,1,0,0,20,0,13,31.99,0
120,49,1,0,0,6,0,6,118.67,1
122,49,1,0,0,22,0,12,322.72,1
124,49,1,0,0,9,0,10,6.97,0
125,49,1,0,0,0,0,5,56.4,0
126,49,1,0,0,0,0,5,36.69,0
127,49,1,0,0,0,0,5,6.53,0
128,49,1,0,0,0,0,5,27.87,0
129,49,1,0,0,0,0,5,23.29,0
130,49,1,0,0,36,0,15,105.01,0
131,49,1,0,0,0,0,5,28.86,0
131,49,1,0,0,1,0,5,8.55,0
132,49,1,0,0,1,0,5,0.85,0
150,49,1,0,0,1,0,5,12.12,0
151,49,1,0,0,1,0,5,27.34,0
152,49,1,0,0,1,0,5,21.2,0
153,49,1,0,0,1,0,5,28.15,0
154,49,1,0,0,1,0,5,80.24,0
155,49,1,0,0,5,0,8,31.3,0
156,49,1,0,0,1,0,5,55.27,0
157,49,1,0,0,1,0,5,9.81,0
158,49,1,0,0,1,0,5,20.86,0
159,49,1,0,0,1,0,5,29.14,0
159,49,1,0,0,35,0,18,962.69,1
160,49,1,0,0,5,0,8,30.19,0
161,49,1,0,0,5,0,8,17.15,0
162,49,1,0,0,1,0,5,11.9,0
163,49,1,0,0,1,0,5,19.54,0
164,49,1,0,0,1,0,5,5.18,0
165,49,1,0,0,1,0,5,64.71,0
166,49,1,0,0,1,0,5,11.15,0
167,49,1,0,0,1,0,5,39.33,0
168,49,1,0,0,28,0,13,7.99,0
169,49,1,0,0,0,0,5,39.34,0
169,49,1,0,0,1,0,5,46.17,0
170,49,1,0,0,1,0,5,51.07,0
171,49,1,0,0,1,0,5,12.23,0
172,49,1,0,0,1,0,5,33.28,0
174,49,1,0,0,1,0,5,11.3,0
175,49,1,0,0,5,0,8,53.7,0
176,49,1,0,0,1,0,5,15.95,0
176,49,1,0,0,22,0,12,78.3,1
177,49,1,0,0,1,0,5,4.38,0
178,49,1,0,0,1,0,5,14.73,0
179,49,1,0,0,1,0,5,5.68,0
0,50,1,1,0,1,0,5,12.53,0
1,50,1,1,0,1,0,5,14.54,0
2,50,1,1,0,1,0,5,13.74,0
3,50,1,1,0,1,0,5,31.8,0
4,50,1,1,0,1,0,5,23.91,0
5,50,1,1,0,1,0,5,27.71,0
6,50,1,1,0,1,0,5,21.24,0
102,50,1,1,0,0,0,5,17.13,0
103,50,1,1,0,0,0,5,25.27,0
104,50,1,1,0,0,0,5,13.22,0
106,50,1,1,0,0,0,5,4.4,0
107,50,1,1,0,0,0,5,35.07,0
108,50,1,1,0,0,0,5,35.03,0
109,50,1,1,0,0,0,5,48.1,0
110,50,1,1,0,0,0,5,6.13,0
111,50,1,1,0,0,0,5,20.36,0
112,50,1,1,0,9,0,10,15.09,0
113,50,1,1,0,6,0,6,45.74,1
113,50,1,1,0,0,0,5,8.59,0
114,50,1,1,0,32,0,11,52.95,0
115,50,1,1,0,0,0,5,11.12,0
115,50,1,1,0,1,0,5,37.99,0
116,50,1,1,0,1,0,5,1.99,0
117,50,1,1,0,1,0,5,24.7,0
118,50,1,1,0,1,0,5,32.06,0
119,50,1,1,0,1,0,5,34.17,0
120,50,1,1,0,1,0,5,18.58,0
121,50,1,1,0,1,0,5,19.12,0
165,50,1,1,0,1,0,5,54.65,0
166,50,1,1,0,1,0,5,6.23,0
167,50,1,1,0,1,0,5,35.64,0
168,50,1,1,0,1,0,5,17.91,0
169,50,1,1,0,1,0,5,54.89,0
171,50,1,1,0,1,0,5,12.08,0
172,50,1,1,0,1,0,5,9.29,0
